Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Belarus,Europe,994037,10520,,,,7118,75,,,
China,Western Pacific,99375079,6754,1860,,1860,122309,8,5,,5
French Guiana,,98041,32825,,,,413,138,,,
Latvia,Europe,977765,51254,,,,7475,392,,,
Saint Vincent and the Grenadines,Americas,9674,8720,,,,124,112,,,
Guinea-Bissau,Africa,9614,489,,,,177,9,,,
Niger,Africa,9518,39,,,,315,1,,,
Comoros,Africa,9109,1047,,,,160,18,,,
Antigua and Barbuda,Americas,9106,9299,,,,146,149,,,
Senegal,Africa,89485,534,,,,1971,12,,,
Malawi,Africa,89168,466,,,,2686,14,,,
Kyrgyzstan,Europe,88953,1363,,,,1024,16,,,
C�te d'Ivoire,Africa,88434,335,,,,835,3,,,
Netherlands (Kingdom of the),Europe,8640536,49637,368,2,368,22986,132,,,
Saudi Arabia,Eastern Mediterranean,841469,2417,,,,9646,28,,,
American Samoa,Western Pacific,8359,15144,,,,34,62,,,
Azerbaijan,Europe,835838,8244,81,1,81,10353,102,,,
Suriname,Americas,82501,14064,,,,1406,240,,,
New Caledonia,Western Pacific,80163,28078,,,,314,110,,,
Tokelau,Western Pacific,80,5926,,,,0,,,,
Sierra Leone,Africa,7979,100,,,,125,2,,,
French Polynesia,Western Pacific,79404,28267,17,6,17,650,231,,,
Liberia,Africa,7930,157,,,,294,6,,,
Chad,Africa,7702,47,,,,194,1,,,
Iran (Islamic Republic of),Eastern Mediterranean,7627863,9082,,,,146837,175,,,
Mexico,Americas,7620108,5910,288,,288,334586,260,4,,4
British Virgin Islands,Americas,7557,24993,,,,64,212,,,
Eswatini,Africa,75356,6495,,,,1427,123,,,
Guyana,Americas,74461,9467,7,1,7,1302,166,,,
Paraguay,Americas,735759,10316,,,,19880,279,,,
Cook Islands,Western Pacific,7345,41818,,,,2,11,,,
Belize,Americas,71416,17961,1,,1,688,173,,,
International conveyance (Diamond Princess),Other,712,,,,,13,,,,
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13785,,,,5708,112,,,
Global,,7.75917104E8,4799497.0,42756.0,506.0,42756.0,7058381.0,29400.0,903.0,1.0,903.0
Bahrain,Eastern Mediterranean,696614,40939,,,,1536,90,,,
Cyprus,Europe,696410,78424,,,,1451,163,,,
Fiji,Western Pacific,69047,7702,,,,885,99,,,
Madagascar,Africa,68567,248,,,,1428,5,,,
Indonesia,South-East Asia,6829491,2497,92,,92,162059,59,,,
Turks and Caicos Islands,Americas,6805,17576,,,,40,103,,,
Sao Tome and Principe,Africa,6771,3090,,,,80,37,,,
Sri Lanka,South-East Asia,672798,3142,,,,16907,79,,,
Poland,Europe,6674042,17583,3243,9,3243,120734,318,8,,8
Kuwait,Eastern Mediterranean,667290,15625,,,,2570,60,,,
Jersey,,66391,61589,,,,161,149,,,
Dominican Republic,Americas,661103,6094,,,,4384,40,,,
Saint Kitts and Nevis,Americas,6607,12421,,,,46,86,,,
Cabo Verde,Africa,64474,11596,,,,417,75,,,
Myanmar,South-East Asia,642902,1182,17,,17,19494,36,,,
Sudan,Eastern Mediterranean,63993,146,,,,5046,12,,,
Colombia,Americas,6392472,12563,596,1,596,142727,281,,,
Republic of Moldova,Europe,638901,15838,1381,34,1381,12248,304,3,,3
Mauritania,Africa,63872,1374,,,,997,21,,,
Palau,Western Pacific,6372,35220,,,,10,55,,,
Bhutan,South-East Asia,62697,8125,,,,21,3,,,
Estonia,Europe,610471,45935,,,,2998,226,,,
Austria,Europe,6082465,68334,21,,21,22534,253,,,
Syrian Arab Republic,Eastern Mediterranean,57423,328,,,,3163,18,,,
Greece,Europe,5679215,52985,5527,52,5527,39296,367,38,,38
Portugal,Europe,5665049,55022,942,9,942,28840,280,31,,31
Ukraine,Europe,5533052,12652,275,1,275,109923,251,3,,3
Venezuela (Bolivarian Republic of),Americas,552695,1944,,,,5856,21,,,
Saint Barth�lemy,,5507,55711,,,,5,51,,,
Burundi,Africa,54569,459,,,,15,,,,
Chile,Americas,5401231,28255,105,1,105,62734,328,4,,4
Nauru,Western Pacific,5393,49778,,,,1,9,,,
Malaysia,Western Pacific,5309410,16404,,,,37351,115,,,
Guam,Western Pacific,52287,30980,,,,419,248,,,
Seychelles,Africa,51886,52758,,,,172,175,,,
Egypt,Eastern Mediterranean,516023,504,,,,24830,24,,,
Qatar,Eastern Mediterranean,514524,17859,,,,690,24,,,
Kiribati,Western Pacific,5085,4257,,,,24,20,,,
Libya,Eastern Mediterranean,507269,7382,,,,6437,94,,,
Ethiopia,Africa,501193,436,,,,7574,7,,,
International conveyance (Solomon Islands),Other,5,,,,,0,,,,
R�union,,494595,55243,,,,921,103,,,
Gabon,Africa,49051,2204,,,,307,14,,,
Belgium,Europe,4873873,42299,1044,9,1044,34339,298,,,
Israel,Europe,4841558,55936,,,,12707,147,,,
